ay,cropyear,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct
1949,1949/50,,,83.8,201.2,101.9,67.8,0,0,0,0,0,0
1950,1950/51,24.9,165.4,127.8,69.6,128,10.7,0.5,0,0,0,0,141.5
1951,1951/52,56.6,91.9,258.8,217.9,16,4.3,0,0,0,0,1.5,7.9
1952,1952/53,186.7,74.4,233.4,283,259.3,58.2,0,0,0,0,22.6,12.4
1953,1953/54,117.1,121.2,297.2,232.7,67.8,0,0,0,0,0,3.8,3.3
1954,1954/55,131.3,355.6,236,126,85.3,20.8,5.1,3.3,0,0,0,1
1955,1955/56,125,211.6,161.3,248.2,119.4,20.3,0,0,0,0,0,15.5
1956,1956/57,140.7,132.3,207.5,252.7,65.5,13.2,0,0,0,0,0,22.9
1957,1957/58,55.6,265.7,220.5,386.6,45.7,46.7,0,0.5,0,0,14.5,55.1
1958,1958/59,54.4,291.8,176.3,193.3,47.2,11.4,17,0,0,0,1,0.5
1959,1959/60,59.7,280.9,124.5,200.4,68.1,11.4,72.6,1.3,0,0,0,0
1960,1960/61,133.9,167.1,196.8,161.8,158.7,33,5.6,0,0,0,0,0.5
1961,1961/62,128.5,159,322.6,114,29.2,42.2,0,0,0,0,0,0
1962,1962/63,202.9,501.9,176.8,223.3,35.1,34.3,0,0,0,0,0,16.8
1963,1963/64,41.7,177,193.8,162.6,4.3,0,0,0,0,0.3,0,0
1964,1964/65,146.3,261.1,347.2,136.7,14.5,5.8,3,0,0,0,3.6,11.9
1965,1965/66,65.8,73.2,122.7,221.5,42.2,49.5,15.5,14,0,5.3,0,2
1966,1966/67,31.8,151.4,238.8,167.1,131.1,8.1,32.3,0,0,0,1,34.5
1967,1967/68,64.8,192.3,277.1,169.2,25.4,14.7,25.4,0,0,0,0,0
1968,1968/69,90.4,90.7,123.4,180.3,274.8,1,7.6,0.5,0,0,26.4,111.8
1969,1969/70,61.7,345.2,147.6,44.7,40.6,24.1,0,0,0,0,0.5,12.7
1970,1970/71,208,196.3,179.6,136.4,7.1,12.2,0,0,0,0,0,1.8
1971,1971/72,98,117.1,358.1,130,159.3,49.8,0,0,0,0,0,19.6
1972,1972/73,22.1,42.4,180.1,79.9,43.7,29.5,0,0,0,0,5.3,7.9
1973,1973/74,79.8,200.1,379.9,315.3,109.6,70.2,23.2,0,0,0,0.6,3
1974,1974/75,189,328.7,148.5,142.8,67.1,9,0.2,1.6,0,0,0,0.2
1975,1975/76,43.5,269.9,166,100.7,273.8,77.4,64.4,2.5,0,0,1.8,16.8
1976,1976/77,16.6,84,117.1,74,106.3,3.9,0,0,0,2.1,2.7,0
1977,1977/78,63.7,353.8,179.2,257.8,177.7,106.5,9.4,1.6,2.3,0,0,5.3
1978,1978/79,41.2,305.9,124.8,134.7,85.4,8.4,0,0.3,0,1.2,0,42.3
1979,1979/80,212,436.5,89.5,134.3,107.8,38.6,7.6,0,0,0,0,64.8
1980,1980/81,143.9,209,211.2,240.5,27.2,38.5,0,0,0,0,0,7
1981,1981/82,154.1,45.8,184.1,110.2,54.4,0,0,0,1.8,0,0.3,36.4
1982,1982/83,54.4,68.9,324.3,55.2,78,16.8,10.6,0,0,0,0,11.7
1983,1983/84,63.8,177.5,61.5,108.9,98,11.4,3,0,0,0,0,6.5
1984,1984/85,127.4,145.9,192.9,186.3,140.7,0,1.2,0,0,0,0,24.6
1985,1985/86,88.9,194.6,321.5,214,106.5,97.6,0,0,0,0,0,173.7
1986,1986/87,106.8,204.2,45.7,37.2,51.6,0,0.9,0,0,0,0,10.8
1987,1987/88,55.3,174.1,154,184,81.7,27.6,14.1,4,0,0,0,46.5
1988,1988/89,40.3,116,320.9,429.2,47.2,14.1,0,0,0,0,0,19.5
1989,1989/90,94.9,153,282.8,251,28.1,60.4,1.5,0,0,0,0,5.2
1990,1990/91,53.1,168.9,122.2,152.9,94.6,0,0,0,0,0,0,24.6
1991,1991/92,51.1,148.5,97.6,10.8,145.2,0,4.7,0,0,0,0,3.5
1992,1992/93,79.1,186.4,150.6,270.9,84.1,16.7,0,0,0.1,5.9,4.6,0
1993,1993/94,99.9,140.8,156.7,122.8,13.9,1.7,0,0,0,0,0,20.6
1994,1994/95,99.4,66.4,49.6,127.8,45.1,0,0,0,0,0,0,124
1995,1995/96,46.1,158.4,275.4,193.6,105.5,0,25,0.6,0,0,0,0
1996,1996/97,122.2,137,280,243,239.9,50.4,0,4.5,0,0,20,0.2
1997,1997/98,134.8,48.5,266.7,95.8,107.3,0.4,0,0,0,0,0,0
1998,1998/99,30.4,263,204.2,120.6,127.5,1.3,0,0,0,3.5,0,3.4
1999,1999/2000,72.2,78.6,175.8,267.5,155.6,47.4,59.4,29.2,0,0,0,0
2000,Jan-00,97.2,216.8,174.2,263.4,127.7,25.1,0,0,1.3,0,4.3,4.5
2001,Feb-01,107.8,128.3,159.9,43.7,31.5,140,0,3.7,0,0,7.6,42.3
2002,Mar-02,48,95.4,150,116.6,213.9,3.6,0,3.6,0,0,0,39.3
2003,Apr-03,35.3,184.8,216.8,172.6,274.3,31,0,0,0,0,0,24.9
2004,May-04,10.5,162.1,201.3,71.6,32.1,22.4,0,0,0,0,0,0
2005,Jun-05,85,210,293.8,216.5,107.1,1.2,0,0,0,0,0,6.8
2006,Jul-06,143.3,221.4,367.3,72.5,72.1,48.2,0,0,0,0,6.1,0
2007,Aug-07,84,419.9,299.5,94.9,116.1,8.4,6.2,0,0,0,0,4.699999999
2008,Sep-08,176.9999999,195.8,192.2,121.1,120.8,13.6,0,0,0,0,0,8.899999999
2009,Oct-09,161.1,102.3,192.4999999,176.6,181.5,56.30000001,3.7,0,0,0,0,0
2010,Nov-10,105.2,260.3,202.1,132.4,87,10.1,,,,,,3.9
2011,Dec-11,87.8,279.6,139.7,112.7,63.3,28.6,,,,,,8.3
2012,2012/13,92.5,200,264.4,246.3,38.9,1.3,,,,,,
